Client ID;Конверсия;Марка;Модель;Avg. Session Duration;Bounce Rate;Browser;City;Campaign;Date;Device Category;Domain;Goal Completion Location;Goal Completions;Goal Conversion Rate;Goal Value;Keyword;Medium;Pageviews;Region;Sessions;Source;Source conv.;Продажа;Цена;Валюта
GA1.2.1513541597.1578855993;0;Mercedes;glc;0;0,00%;Chrome;Krasnodar;(not set);12.01.2020;mobile;Mersedes-krasnodar.ru;/models/glc/options/;0;0;0;(not set);(none);2;Krasnodar Krai;1;(direct);(direct);0;3950000;Рубль
GA1.2.1513555967.1580894243;0;Mercedes;;0;0,00%;YaBrowser;Krasnodar;36451549;05.02.2020;mobile;Mersedes-krasnodar.ru;/special/purchase/?calltouch_tm=yd_c:36451549_gb:3435681394_ad:6081170080_ph:14000399286_st:search_pt:premium_p:1_s:none_dt:mobile_reg:35_ret:_apt:none&yclid=371153479836917376;0;0;0;киа 2019;cpc;2;Krasnodar Krai;1;yandex;YANDEX;0;;
GA1.2.1513604945.1578817154;0;Mercedes;;0,00431713;0,00%;Android Webview;Krasnodar;(not set);12.01.2020;mobile;Mersedes-krasnodar.ru;/;0;0;0;(not set);organic;16;Krasnodar Krai;1;yandex;YANDEX;0;;
GA1.2.1513635977.1578667429;1;BMW;;0;0,00%;Chrome;Krasnodar;(not set);10.01.2020;desktop;BMW-keyauto-krd.ru;/;1;1;24227;(not set);referral;8;Krasnodar Krai;1;cars.BMW-keyauto-krd.ru;cars.BMW-keyauto-krd.ru;0;;
GA1.2.1513635977.1578667429;0;BMW;;0,000439815;0,00%;Chrome;Krasnodar;(not set);10.01.2020;desktop;BMW-keyauto-krd.ru;/;0;0;0;(not set);referral;8;Krasnodar Krai;1;yandex.ru;yandex.ru;0;;
GA1.2.1513635977.1578667429;1;BMW;;0;0,00%;Chrome;Krasnodar;(not set);10.01.2020;desktop;BMW-keyauto-krd.ru;/offers/buy/;1;1;40816;(not set);referral;8;Krasnodar Krai;1;cars.BMW-keyauto-krd.ru;cars.BMW-keyauto-krd.ru;0;;
GA1.2.1513635977.1578667429;1;BMW;;0,000439815;0,00%;Chrome;Krasnodar;(not set);10.01.2020;desktop;BMW-keyauto-krd.ru;/offers/buy/;1;1;17622;(not set);referral;8;Krasnodar Krai;1;yandex.ru;yandex.ru;0;;
GA1.2.1513635977.1578667429;0;BMW;;0;0,00%;Chrome;Krasnodar;(not set);10.01.2020;desktop;cars.BMW-keyauto-krd.ru;/;0;0;0;(not set);referral;2;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1513663829.1580910153;0;Mercedes;;0,008252315;0,00%;Chrome;Krasnodar;(not set);05.02.2020;desktop;Mersedes-krasnodar.ru;/;0;0;0;(not set);referral;12;Krasnodar Krai;1;yandex.ru;yandex.ru;0;;
GA1.2.1513680834.1580191850;1;Mercedes;;0,005289352;0,00%;YaBrowser;Anapa;36451549;28.01.2020;desktop;Mersedes-krasnodar.ru;/special/purchase/?calltouch_tm=yd_c:36451549_gb:3435681394_ad:6081170080_ph:14000399324_st:search_pt:premium_p:4_s:none_dt:desktop_reg:1107_ret:_apt:none&yclid=187011903926852844;1;1;31385;Mersedes официальный сайт;cpc;20;Krasnodar Krai;1;yandex;YANDEX;1;;
GA1.2.1513879284.1581063559;1;BMW;;0;0,00%;Chrome;Krasnodar;(not set);07.02.2020;mobile;BMW-keyauto-krd.ru;(entrance);1;1;23208;(not set);(none);9;Krasnodar Krai;1;(direct);(direct);0;;
GA1.2.1513879284.1581063559;1;BMW;;0,013391204;0,00%;Chrome;Krasnodar;(not set);07.02.2020;mobile;BMW-keyauto-krd.ru;(entrance);1;1;26500;(not set);referral;9;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1513879284.1581063559;0;BMW;;0;0,00%;Chrome;Krasnodar;(not set);07.02.2020;mobile;BMW-keyauto-krd.ru;/;0;0;0;(not set);(none);9;Krasnodar Krai;1;(direct);(direct);0;;
GA1.2.1513879284.1581063559;1;BMW;;0,013391204;0,00%;Chrome;Krasnodar;(not set);07.02.2020;mobile;BMW-keyauto-krd.ru;/;1;1;18066;(not set);referral;9;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1513879284.1581063559;1;BMW;;0,008854167;0,00%;Chrome;Krasnodar;(not set);08.02.2020;mobile;BMW-keyauto-krd.ru;/;1;1;41331;(not set);referral;6;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1513879284.1581063559;1;BMW;;0,012974537;0,00%;Chrome;Krasnodar;(not set);09.02.2020;mobile;BMW-keyauto-krd.ru;/;1;1;32303;(not set);referral;10;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1513879284.1581063559;1;BMW;;0,0009375;0,00%;Chrome;Krasnodar;(not set);09.02.2020;mobile;cars.BMW-keyauto-krd.ru;/;1;1;28574;(not provided);organic;5;Krasnodar Krai;1;google;google;0;;
GA1.2.1513879284.1581063559;0;BMW;;0,002361111;0,00%;Chrome;Krasnodar;(not set);09.02.2020;mobile;cars.BMW-keyauto-krd.ru;/;0;0;0;(not set);referral;5;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.151392569.1576947848;0;BMW;;0;0,00%;YaBrowser;Sochi;(not set);15.01.2020;desktop;BMW-keyauto-krd.ru;/;0;0;0;(not set);referral;2;Krasnodar Krai;1;yandex.ru;yandex.ru;0;;
GA1.2.1514146994.1578851053;0;Mercedes;cls;0,001145833;0,00%;YaBrowser;Krasnodar;(not set);12.01.2020;desktop;Mersedes-krasnodar.ru;/models/cls/desc/;0;0;0;(not set);referral;4;Krasnodar Krai;1;yandex.ru;yandex.ru;0;4650000;Рубль
